title,body,labels
"Maintenance - 2/4 stat cards en 0/$0 y getEnCurso() no usado","**Componente:** `features/maintenance/maintenance.component.ts:30-31,155`
**Problema:** ""Urgentes"" y ""Gasto Mensual"" hardcodeados a 0/$0. El servicio tiene `getEnCurso()` (`/api/mantenimientos/en-curso`) pero nunca se llama — se carga `getAll()` y se filtra client-side.
**Solución:** Computar gasto mensual sumando `costo` de mantenimientos del mes. Usar `getEnCurso()` para la pestaña activa en vez de filtrar todo client-side.","bug,frontend,p1"
"Repairs - 2/4 stat cards hardcodeadas (5, $4,200)","**Componente:** `features/repairs/repairs.component.ts:30-31`
**Problema:** ""Completadas Hoy"" (5) y ""Costo Mensual"" ($4,200) son valores fijos.
**Solución:** Computar desde los datos cargados filtrando por fecha y estado.","bug,frontend,p1"
"Settings - 3/4 stat cards fake (Óptima, 5 min, 0)","**Componente:** `features/settings/settings.component.ts:27-31`
**Problema:** ""Seguridad"" (Óptima), ""Última Sincronización"" (5 min), ""Alertas"" (0) son strings/números fijos sin sentido.
**Solución:** Eliminar o reemplazar con métricas reales como total de configuraciones por tipo, última modificación, etc.","bug,frontend,p1"
"Clients - Nuevos (mes) hardcodeado a 0","**Componente:** `features/clients/clients.component.ts:35`
**Problema:** Stat card ""Nuevos (mes)"" siempre muestra 0.
**Solución:** Computar clientes con `fechaRegistro` en el mes actual desde los datos cargados.","bug,frontend,p1"
"Portal Home/Catálogo/Auto-Detail - Pasajeros hardcodeado a 5","**Componente:** `features/portal/home/home.component.ts:87, catalogo.component.ts:61, auto-detail.component.ts:32`
**Problema:** En las 3 vistas de portal el número de pasajeros siempre muestra 5. El modelo `Modelo` tiene campo `numeroPasajeros` pero no se accede.
**Solución:** Mostrar `auto.modelo.numeroPasajeros` o `auto.pasajeros` si el endpoint lo retorna.","bug,frontend,p2"
"Vehicles - Paginación totalPages hardcodeado a 5","**Componente:** `features/vehicles/vehicles.component.ts:86`
**Problema:** `<app-pagination [totalPages]=""5"">` es fijo. No refleja la cantidad real de páginas.
**Solución:** Calcular `Math.ceil(autos().length / pageSize)` o usar paginación server-side con el método `paginate()` del `ApiService`.","bug,frontend,p2"
"Vehicles edit - Busca marca/modelo por string en vez de ID","**Componente:** `features/vehicles/vehicles.component.ts:229-230`
**Problema:** En modo edición, busca `idMarca`/`idModelo` haciendo reverse lookup por nombre de string. Frágil si los nombres no coinciden exactamente o las listas no cargaron.
**Solución:** Agregar `idMarca`/`idModelo` al modelo `Auto` y al endpoint `AutoResponse` del backend para evitar el lookup.","bug,backend,frontend,p2"
"Clients - Licencia free-text sin dropdown de categoría","**Componente:** `features/clients/clients.component.ts:148-160`
**Problema:** Los campos de licencia (número, categoría, vencimiento) son inputs de texto libre. El formulario de Register sí tiene dropdown de categoría con opciones A-I, A-IIa, etc. Inconsistencia.
**Solución:** Reutilizar el mismo componente de dropdown de categoría del Register. Cargar categorías desde backend si existe endpoint `/api/licencias/categorias`.","enhancement,frontend,p2"
"Maintenance - Dropdown de autos muestra todos (incluso ya en mantenimiento)","**Componente:** `features/maintenance/maintenance.component.ts:97-99`
**Problema:** El select de vehículo en ""Nuevo Mantenimiento"" carga todos los autos con `autoService.getAll()`, incluyendo los que ya están en mantenimiento activo.
**Solución:** Filtrar autos que no tengan un mantenimiento con `fechaSalida IS NULL`, o usar endpoint de disponibles.","bug,frontend,p2"
"Register - Categoría licencia dropdown hardcodeado","**Componente:** `features/auth/register.component.ts:86-94`
**Problema:** Las opciones del dropdown de categoría (A-I, A-IIa, A-IIb, etc.) están hardcodeadas en el template. Si se agregan categorías en backend no se reflejan.
**Solución:** Cargar categorías desde endpoint del backend si existe, o al menos centralizar la lista en una constante compartida.","bug,frontend,p2"
"Auto-Detail - horasExtra() siempre retorna 0 (cálculo roto)","**Componente:** `features/portal/auto-detail/auto-detail.component.ts:165-173`
**Problema:** La lógica de horas extra compara `totalHours` (horas diarias × días) contra `fullDayHours` (24 × días). Como las horas diarias nunca superan 24, `horasExtra` siempre es 0.
**Solución:** Revisar la fórmula. Debería comparar la duración real contra la duración contratada (días × 24h).","bug,frontend,p2"
"Mis-Reservas - Badge conflict en estado Finalizada","**Componente:** `features/portal/mis-reservas/mis-reservas.component.ts:41`
**Problema:** `Finalizada` aplica `badge-success` y `badge-neutral` al mismo tiempo (`[class.badge-success]=""r.estado === 'Finalizada'""` + `[class.badge-neutral]=""r.estado === 'Finalizada'""`). La clase que gana depende del orden CSS.
**Solución:** Eliminar la condición duplicada. Dejar solo `badge-success` para Finalizada.","bug,frontend,p2"
"Dashboard - Error handlers de reservas-hoy y vehiculos-mantenimiento silenciosos","**Componente:** `features/dashboard/dashboard.component.ts:112,116`
**Problema:** `getReservasHoy()` y `getVehiculosMantenimiento()` tienen `error: () => {}` — si fallan, el usuario ve listas vacías sin saber que hubo un error.
**Solución:** Agregar manejo de error con toast o indicador visual.","enhancement,frontend,p3"
"Vehicles - estado no incluido en formulario de edición","**Componente:** `features/vehicles/vehicles.component.ts`
**Problema:** `AutoFormData` tiene `estado?: string` pero el template del formulario de crear/editar nunca incluye un campo para estado. En edición se pierde el estado actual.
**Solución:** Agregar dropdown de estado (Disponible, Reservado, En reparación, etc.) en el formulario de edición.","enhancement,frontend,p3"
"Settings - Delete sin confirm dialog","**Componente:** `features/settings/settings.component.ts:183`
**Problema:** `deleteConfig()` llama directamente a la API sin pedir confirmación al usuario. A diferencia de Vehicles que sí usa `ConfirmDialogComponent`.
**Solución:** Agregar `ConfirmDialogComponent` antes de eliminar una configuración.","enhancement,frontend,p3"
